Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m)
IMBI3,"5,01",ON,22/11/2016,COMPANHIA DOCAS DE IMBITUBA ON,"0,00",Transporte,"0,00",Serviços de Apoio e Armazenagem,0
INEP3,"1,51",ON,30/11/2021,INEPAR S/A ON,"0,40",Máquinas e Equipamentos,"3,79",Máq. e Equip. Industriais,2.270.750
INEP4,"1,50",PN,30/11/2021,INEPAR S/A PN,"0,41",Máquinas e Equipamentos,"3,88",Máq. e Equip. Industriais,2.473.220
IENG3,"0,15",ON,24/02/2012,INEPAR ENERGIA ON,"0,00",Energia Elétrica,"0,00",Energia Elétrica,0
IDVL11,"140,00",UNT N1,23/07/2007,Indusval UNT N1,"0,00",Intermediários Financeiros,"0,00",Bancos,0
ILMD4,"30,00",PN,18/11/2011,YARA BRASIL FERTILIZANTES S.A. PN,"0,00",Químicos,"0,00",Fertilizantes e Defensivos,0
ILMD3,"29,00",ON,04/11/2011,YARA BRASIL FERTILIZANTES S.A. ON,"0,00",Químicos,"0,00",Fertilizantes e Defensivos,0
IGTA3,"33,13",ON NM,19/11/2021,IGUATEMI ON NM,"28,62",Exploração de Imóveis,"46,40",Exploração de Imóveis,63.455.800
IGTI3,"27,85",ON N1,30/11/2021,IGUATEMI S.A ON N1,"21,43",Exploração de Imóveis,"36,68",Exploração de Imóveis,7.834.670
HBTS5,"49,50",PNA,30/11/2021,CIA HABITASUL PNA,"21,37",Exploração de Imóveis,"81,65",Exploração de Imóveis,16.173
IGBR6,"19,00",PNB,26/04/2007,GRADIENTE PNB,"0,00",Exploração de Imóveis,"0,00",Exploração de Imóveis,0
IGBR5,"18,90",PNA,12/02/2007,GRADIENTE PNA,"0,00",Exploração de Imóveis,"0,00",Exploração de Imóveis,0
IGBR3,"38,00",ON,30/11/2021,GRADIENTE ON,"25,00",Exploração de Imóveis,"182,99",Exploração de Imóveis,2.048.570
